,what_gender_do_you_identify_as,your_highest_education_level,your_current_employment_status,where_do_you_currently_reside,please_specify_your_native_place,have_you_ever_heard_of_cases_where_men_were_sexually_abused,if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,men_who_report_sexual_abuse_are_not_taken_seriously,fear_of_social_judgment_stops_male_victims_from_coming_forward,sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,are_you_aware_of_any_legal_protections_for_male_victims_in_india,current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up
what_gender_do_you_identify_as,1.0,0.22822825374844818,0.1990570789669225,0.6718121634026314,0.6954133854212418,0.05852358002357598,0.46018998109984555,0.44237395939093394,0.09586849855788228,0.5344917897202655,0.15797230095637332,0.04876657354394644,0.17393440446186212,0.15507238878952834,0.23806208000766485,0.12051489869245312,0.26426348033256686,0.14315069604200847,0.5176191919707048,0.15137521058806747,0.9625391526608678,0.455629664296669,0.06661882910676807,0.08779690101794824
your_highest_education_level,0.22822825374844818,1.0,0.4212192690487702,0.7449284237410356,0.8880042180326617,0.39622157744731346,0.41087371608221734,0.39802331824952675,0.19952474063933848,0.6837594003206958,0.25922534646254736,0.29522272653092674,0.2586589736998191,0.21462059300054576,0.3483167239969148,0.2315295783959394,0.21607233649406649,0.33417840063582693,0.30646982036878884,0.3064058221654084,0.959930885337689,0.5585727237502504,0.23571256184262182,0.30356186226001736
your_current_employment_status,0.19905707896692248,0.4212192690487702,1.0,0.7446167224183157,0.7428065219619585,0.22114921011339214,0.3910343162872477,0.3994736262528768,0.2385364000096826,0.5666569404705297,0.12313742241751155,0.1327331233390797,0.19981372605964592,0.1975087557294915,0.18007628848059035,0.1831929871895572,0.1530213636872894,0.17599126427528886,0.3657705465970066,0.16708827647648844,0.9357417034697854,0.4398312410395352,0.33898339639979863,0.13950243264106904
where_do_you_currently_reside,0.6718121634026314,0.7449284237410356,0.7446167224183157,1.0,0.7917330898068691,0.7875440904764915,0.6658089830056974,0.7272808142009137,0.6541823711961696,0.7416029468071348,0.7003576639378689,0.8054676956117123,0.7951087057057231,0.7425766736471663,0.7417107105037345,0.7111998628270032,0.7278473769595836,0.7505486004390882,0.7097912041973714,0.7790588525802319,0.9691314081560405,0.7170772373951362,0.7566667977763679,0.6894087711457765
please_specify_your_native_place,0.6954133854212416,0.8880042180326617,0.7428065219619585,0.7917330898068691,1.0,0.790469562979353,0.7442506237104313,0.7662969273021467,0.7925915755547935,0.773325517833439,0.5968669132206691,0.6442880684190225,0.6593954018266525,0.7969357843393157,0.6814045275587144,0.7333174579221997,0.6456275681802852,0.5994681534715092,0.7386466403642453,0.6690235840347708,0.9612370197756299,0.7488310088049771,0.6281099780469537,0.7038345609112195
have_you_ever_heard_of_cases_where_men_were_sexually_abused,0.05852358002357598,0.39622157744731346,0.22114921011339214,0.7875440904764915,0.7904695629793529,1.0,0.5523108281204584,0.5702480473373966,0.11207282034997211,0.5704754865625176,0.3708368555019739,0.24622182535680215,0.2484451686032984,0.1401713612458351,0.3209218725656296,0.013019568935851204,0.1369739950909112,0.15967111653922852,0.4578904309734468,0.49750410468657347,0.9999999999999999,0.5891086177809733,0.07197689008595679,0.055378939321406924
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply,0.46018998109984555,0.4108737160822173,0.3910343162872477,0.6658089830056974,0.7442506237104313,0.5523108281204583,1.0,0.41955987227092556,0.346215951811533,0.5687095528963405,0.341138756177895,0.44550884898035553,0.4152828580067392,0.3573333500804745,0.35551369081417333,0.35599007568208946,0.35415288664733674,0.32905755633314243,0.3754585378610894,0.42186779762437265,0.9793013247494791,0.35660305265902753,0.3538507960687517,0.39493403548811656
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply,0.4423739593909339,0.3980233182495268,0.39947362625287686,0.7272808142009137,0.7662969273021467,0.5702480473373966,0.41955987227092556,1.0,0.40065001330042194,0.5988034551842348,0.3931976981743246,0.4448357007043697,0.3929488344461918,0.4041517582087898,0.4353769651838706,0.44410528589324233,0.41764940262691924,0.6247590628711809,0.4706513659563645,0.3849358102919801,0.9525793444156805,0.46545499675639623,0.43122783459842357,0.41047502701150124
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india,0.09586849855788229,0.1995247406393385,0.23853640000968257,0.6541823711961697,0.7925915755547935,0.11207282034997211,0.346215951811533,0.40065001330042194,1.0,0.5290990450359881,0.20378044678912682,0.2408949866841119,0.22369903852155276,0.2799526585926791,0.16556861549628507,0.09765962019318417,0.15086301912031258,0.12761317869855593,0.3567220304659789,0.15551097592206164,0.9716135660902949,0.41466586733135274,0.09920960470496996,0.14752388284905937
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply,0.5344917897202655,0.6837594003206959,0.5666569404705297,0.7416029468071348,0.773325517833439,0.5704754865625177,0.5687095528963405,0.5988034551842348,0.5290990450359881,1.0,0.5668212742818034,0.5033395312389308,0.5380733534227082,0.5547451022166333,0.45881927253915583,0.6037145333696599,0.527059385236075,0.5464331443887255,0.5586364659530904,0.5138920995994609,0.9712371426698979,0.5229897059390677,0.590548808840468,0.5554768690855046
men_who_report_sexual_abuse_are_not_taken_seriously,0.15797230095637332,0.25922534646254736,0.12313742241751154,0.7003576639378688,0.5968669132206691,0.37083685550197387,0.3411387561778951,0.39319769817432454,0.20378044678912682,0.5668212742818034,1.0,0.6832509158774033,0.5594051384676368,0.19989244938157794,0.43625911245883353,0.25159741451116924,0.41208566673255037,0.2336460908683292,0.43901008849740236,0.25554814313833096,0.9954081767916342,0.4476336468163227,0.2063299744485921,0.19912724673286575
fear_of_social_judgment_stops_male_victims_from_coming_forward,0.048766573543946444,0.29522272653092674,0.1327331233390797,0.8054676956117123,0.6442880684190225,0.24622182535680215,0.4455088489803554,0.4448357007043697,0.24089498668411194,0.5033395312389308,0.6832509158774033,1.0,0.66734585850478,0.22871925520791458,0.49535348298580234,0.2516148166942039,0.4488732564362011,0.26447415584535466,0.41199142824181323,0.3098481306665815,0.9676135105046445,0.434469481782628,0.19513635272417812,0.206357826790448
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women,0.17393440446186212,0.2586589736998191,0.19981372605964592,0.7951087057057231,0.6593954018266525,0.24844516860329843,0.4152828580067392,0.3929488344461918,0.22369903852155276,0.5380733534227082,0.5594051384676368,0.66734585850478,1.0,0.24043538724947758,0.48288911148640695,0.13395198534562383,0.3928535135379294,0.3975036834064288,0.395842887035793,0.22089144972208646,0.9818479977259178,0.4453768242151982,0.2600793800082745,0.24161855179240135
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem,0.15507238878952834,0.21462059300054576,0.1975087557294915,0.7425766736471663,0.7969357843393157,0.1401713612458351,0.35733335008047445,0.4041517582087898,0.2799526585926791,0.5547451022166333,0.19989244938157794,0.22871925520791458,0.24043538724947758,1.0,0.18395166130263632,0.1762483080460261,0.30679696393806066,0.2694195919507154,0.3694501734536638,0.23343106016610599,0.980085220737526,0.3944017317878082,0.2902477595236363,0.25543043866130954
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases,0.23806208000766482,0.3483167239969148,0.18007628848059035,0.7417107105037344,0.6814045275587144,0.3209218725656296,0.35551369081417333,0.43537696518387053,0.16556861549628504,0.4588192725391559,0.43625911245883353,0.49535348298580234,0.48288911148640695,0.18395166130263632,1.0,0.16281571783633533,0.4271740778636467,0.20434865231328825,0.3718836563575936,0.29225542128420606,0.9801540914851014,0.5179817741051497,0.20120820046228075,0.21014939685367096
are_you_aware_of_any_legal_protections_for_male_victims_in_india,0.12051489869245312,0.2315295783959394,0.1831929871895572,0.7111998628270032,0.7333174579221997,0.013019568935851204,0.35599007568208946,0.44410528589324233,0.09765962019318418,0.60371453336966,0.25159741451116924,0.2516148166942038,0.13395198534562383,0.1762483080460261,0.16281571783633533,1.0,0.2411340411855393,0.1722945935677336,0.325586344497646,0.17709405015393856,0.963531470405539,0.3824957523388173,0.24736600932421426,0.15400560180656214
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims,0.26426348033256686,0.21607233649406649,0.1530213636872894,0.7278473769595836,0.6456275681802852,0.1369739950909112,0.35415288664733674,0.41764940262691924,0.1508630191203126,0.527059385236075,0.41208566673255037,0.448873256436201,0.3928535135379294,0.30679696393806066,0.4271740778636467,0.2411340411855393,1.0,0.2762627867846402,0.40970332728234965,0.27623295879284554,0.9783222348405257,0.3863292713483567,0.18716819537118312,0.15492294368969042
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws,0.14315069604200847,0.33417840063582693,0.17599126427528886,0.7505486004390882,0.5994681534715091,0.15967111653922852,0.32905755633314243,0.6247590628711808,0.12761317869855593,0.5464331443887255,0.23364609086832916,0.26447415584535466,0.3975036834064288,0.26941959195071546,0.20434865231328822,0.1722945935677336,0.27626278678464017,1.0,0.40606564321527244,0.20957540428147772,0.977132147686562,0.44591707471933395,0.1861672909882886,0.31253784376047106
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply,0.5176191919707048,0.30646982036878884,0.36577054659700664,0.7097912041973714,0.7386466403642453,0.4578904309734467,0.37545853786108946,0.4706513659563645,0.35672203046597895,0.5586364659530904,0.43901008849740236,0.41199142824181323,0.395842887035793,0.3694501734536638,0.37188365635759363,0.325586344497646,0.40970332728234976,0.40606564321527244,1.0,0.4497608079697195,0.9711735641735315,0.3961511518334894,0.42664605807794564,0.4072938980615492
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women,0.15137521058806747,0.3064058221654084,0.16708827647648847,0.7790588525802319,0.6690235840347707,0.49750410468657347,0.4218677976243726,0.38493581029198004,0.15551097592206162,0.5138920995994609,0.25554814313833096,0.3098481306665815,0.22089144972208646,0.23343106016610599,0.29225542128420606,0.17709405015393853,0.2762329587928455,0.20957540428147772,0.4497608079697195,1.0,0.9714406671006571,0.6027611783676227,0.1655348442016594,0.13602491621707874
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors,0.9625391526608678,0.959930885337689,0.9357417034697852,0.9691314081560405,0.9612370197756299,0.9999999999999999,0.9793013247494792,0.9525793444156804,0.9716135660902949,0.9712371426698978,0.9954081767916342,0.9676135105046444,0.9818479977259178,0.980085220737526,0.9801540914851014,0.963531470405539,0.9783222348405257,0.977132147686562,0.9711735641735315,0.971440667100657,1.0,0.9649288362815462,0.9450415061127538,0.9500247709074553
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply,0.455629664296669,0.5585727237502504,0.4398312410395352,0.7170772373951363,0.7488310088049771,0.5891086177809732,0.35660305265902753,0.46545499675639623,0.41466586733135274,0.5229897059390677,0.4476336468163227,0.4344694817826279,0.4453768242151982,0.3944017317878082,0.5179817741051497,0.3824957523388173,0.3863292713483567,0.44591707471933395,0.3961511518334894,0.6027611783676227,0.9649288362815462,1.0,0.48656584780101886,0.4972281965459249
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.06661882910676808,0.23571256184262182,0.33898339639979863,0.7566667977763679,0.6281099780469537,0.07197689008595679,0.3538507960687517,0.43122783459842357,0.09920960470496996,0.590548808840468,0.2063299744485921,0.19513635272417812,0.2600793800082745,0.2902477595236363,0.20120820046228075,0.24736600932421426,0.1871681953711831,0.1861672909882886,0.4266460580779457,0.1655348442016594,0.9450415061127537,0.48656584780101886,1.0,0.6155995545918416
do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up,0.08779690101794825,0.30356186226001736,0.139502432641069,0.6894087711457764,0.7038345609112195,0.055378939321406924,0.39493403548811656,0.4104750270115012,0.14752388284905937,0.5554768690855046,0.19912724673286575,0.206357826790448,0.24161855179240138,0.25543043866130954,0.21014939685367098,0.15400560180656211,0.15492294368969042,0.312537843760471,0.4072938980615492,0.13602491621707874,0.9500247709074553,0.4972281965459249,0.6155995545918416,1.0
