,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
please_specify_your_native_place_Kaushambi UP,-0.0272,-0.0105,0.0064,0.009,0.0371,-0.0059,-0.0207,0.0216,-0.0412,0.0051
please_specify_your_native_place_Kerala,-0.0419,-0.012,-0.0226,0.0119,0.0798,-0.0204,-0.0392,-0.0238,-0.0527,-0.0048
please_specify_your_native_place_Kolkata,0.0081,-0.0621,-0.0784,0.0159,-0.0487,0.0135,0.1196,-0.003,-0.0049,-0.0609
please_specify_your_native_place_Kolkata (Home),-0.0346,-0.006,-0.0737,-0.0058,-0.0276,0.2454,0.0116,0.0474,0.0107,-0.0981
please_specify_your_native_place_Ludhiana punjab,-0.039,-0.0053,-0.0288,-0.0383,0.0406,-0.0645,0.0575,0.126,0.045,-0.0056
please_specify_your_native_place_Maligaon,-0.0132,-0.0089,0.0096,-0.0145,0.0411,-0.0028,0.0408,-0.0141,-0.0251,0.0307
please_specify_your_native_place_Maligaon ,0.0101,0.0093,0.0584,-0.0387,-0.0247,0.0492,0.0135,-0.0036,0.0822,0.0026
"please_specify_your_native_place_Mangaldai, Assam",0.0103,-0.0016,0.053,0.0117,-0.0445,-0.0024,0.0368,0.0301,0.015,-0.0105
"please_specify_your_native_place_Mangaldoi,Darrang",-0.0143,0.0064,0.0255,-0.0438,0.013,0.0118,-0.0346,0.0387,0.0537,0.0183
please_specify_your_native_place_Near WTP malviya nagar ,0.1325,-0.1075,-0.1153,0.0148,0.1124,0.0726,-0.055,-0.0134,0.0362,0.0714
please_specify_your_native_place_New Ashok Nagar,0.036,-0.007,0.0234,-0.0227,0.0224,-0.0134,-0.0154,0.0018,0.025,-0.0333
please_specify_your_native_place_North ghy ,-0.0151,0.004,0.0426,0.0189,0.0003,-0.0489,0.0308,-0.0361,0.0082,-0.0308
please_specify_your_native_place_Pub Boragaon ,-0.0433,-0.0178,-0.0159,-0.0316,0.0251,0.0376,-0.0293,0.0285,0.0581,-0.0395
"please_specify_your_native_place_Pune, Maharashtra ",-0.0353,-0.0114,-0.004,0.0276,-0.0027,-0.0403,0.0067,0.0437,-0.0415,-0.0287
"please_specify_your_native_place_Shillong, Meghalaya",0.0104,0.0554,0.0161,-0.0165,-0.0217,-0.0198,-0.0224,0.0977,-0.0493,0.0451
please_specify_your_native_place_Siliguri,0.0196,-0.0489,-0.0686,0.0465,-0.0827,-0.1177,-0.0277,0.0532,0.0886,-0.0345
please_specify_your_native_place_Tinsukia ,-0.0125,-0.0095,-0.0014,0.0023,-0.0215,0.008,-0.0084,0.0115,-0.0059,0.0618
please_specify_your_native_place_Udaipur ,-0.013,-0.008,0.0088,0.0102,0.0072,-0.0112,0.0069,-0.0255,-0.0777,-0.0188
please_specify_your_native_place_Uttrakhand ,-0.041,-0.0039,0.0303,0.0722,0.0285,0.0732,-0.069,-0.0,0.0116,-0.008
please_specify_your_native_place_Yamuna vihar ,0.0127,0.0035,0.014,-0.0241,-0.0376,-0.0274,0.0178,-0.0564,0.0083,-0.032
please_specify_your_native_place_assam,-0.0394,-0.0021,0.0211,-0.0509,-0.0031,0.0943,0.0059,0.0058,0.0772,0.0378
have_you_ever_heard_of_cases_where_men_were_sexually_abused_Yes,-0.1039,0.0385,-0.1146,0.1085,-0.0246,-0.0699,-0.0572,-0.0189,-0.1587,0.0415
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment,0.0855,0.0256,-0.0803,-0.0018,0.0006,0.0166,-0.0865,-0.0767,-0.0615,0.0516
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault",-0.0341,0.0573,-0.0152,0.0451,-0.0124,0.0816,0.0684,0.0717,-0.0183,-0.0817
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault, Rape, domestic abuse",-0.0371,-0.0017,-0.0229,-0.0072,-0.0005,0.0222,-0.0255,0.0437,-0.0128,-0.0429
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct",-0.0225,-0.0036,-0.0186,-0.0007,-0.0849,-0.0112,-0.0586,-0.0288,0.0104,0.0782
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Assault",-0.0642,-0.0216,-0.0122,-0.0138,0.1069,-0.0191,0.0037,0.0655,-0.0628,0.0082
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking",-0.046,-0.0048,-0.0,0.0064,0.0451,0.0147,-0.0079,0.0026,0.0081,-0.0234
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault",-0.0431,-0.0018,0.0051,0.0132,0.0847,-0.1207,-0.0039,-0.1521,0.0696,-0.0149
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault, ",-0.015,0.0134,0.0117,-0.0121,-0.0219,0.0018,-0.0043,-0.0356,0.0031,0.0162
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking",0.0312,-0.0163,0.0394,-0.0672,0.0033,-0.0607,0.0364,0.2016,0.1096,0.0831
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking, Assault",-0.0597,-0.0071,-0.0176,-0.0004,0.0393,-0.0158,0.0,0.0451,0.0012,-0.0182
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct,0.0064,-0.0247,0.0022,0.0028,-0.003,-0.0426,-0.0159,-0.0131,0.0289,-0.0897
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",-0.0084,0.0091,0.0647,-0.0564,-0.0263,0.0979,0.0107,0.0039,0.1195,0.0189
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Assault",-0.0225,-0.0443,-0.0153,0.0081,-0.0897,-0.0578,0.0452,0.0349,-0.0929,0.0804
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking",0.0263,0.0082,-0.0502,0.0085,-0.1091,-0.0413,-0.0263,-0.0006,-0.0007,-0.0102
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, Stalking, Assault",-0.0371,-0.0317,0.1107,0.2604,0.0191,0.0965,0.0035,-0.0067,0.0618,0.0545
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Stalking,0.1025,-0.0082,0.1184,-0.0832,0.0587,0.0374,0.1044,-0.0462,-0.1148,-0.1018
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media,0.0312,-0.0639,-0.0775,0.0101,-0.0632,-0.002,0.0731,0.0136,-0.004,-0.0639
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close)",0.0026,-0.0136,0.017,0.0372,-0.0444,-0.0451,0.0057,0.0251,-0.0649,-0.0198
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close), Others",0.026,0.0027,0.0135,0.0017,0.0307,0.0051,-0.0407,-0.0042,-0.033,-0.0282
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media",0.0291,-0.0024,0.03,-0.0126,-0.0708,-0.0795,0.0106,0.1417,-0.0412,0.1285
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows",-0.0745,-0.0032,-0.0296,-0.0326,-0.0244,0.1162,-0.0158,0.0522,0.0201,-0.0516
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows, Others",0.1325,-0.1075,-0.1153,0.0148,0.1124,0.0726,-0.055,-0.0134,0.0362,0.0714
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Others",-0.0227,0.0129,0.0367,-0.0669,-0.0038,0.0259,-0.0906,0.0386,0.0836,0.0155
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close)",-0.0354,-0.0242,-0.0214,-0.019,-0.0363,-0.0034,0.0323,0.0002,-0.0295,0.0415
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",-0.0816,-0.0161,-0.0108,-0.0135,0.1042,0.024,0.003,0.024,-0.096,0.0351
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows, Others",-0.0011,0.0098,-0.0108,0.019,0.0412,-0.0469,-0.0799,-0.1294,-0.0058,0.0545
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Others",-0.0564,-0.0153,-0.0466,-0.0147,0.135,-0.0788,0.0804,-0.1456,0.1032,0.0228
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Others,0.0372,-0.0008,0.1052,-0.0715,0.0196,0.003,0.0855,-0.0929,0.0014,-0.0622
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close),-0.0163,-0.0023,-0.012,-0.021,-0.0372,-0.0095,0.052,-0.0586,-0.0332,-0.0151
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Personal Experience (Self or Someone Close), Movies/TV Shows",-0.039,-0.0053,-0.0288,-0.0383,0.0406,-0.0645,0.0575,0.126,0.045,-0.0056
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media,0.0684,0.0655,-0.0215,0.0025,-0.0761,0.0073,-0.0823,-0.1283,-0.0688,0.0082
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Movies/TV Shows",-0.0055,-0.0535,0.0608,0.1479,-0.0018,0.0512,0.0063,0.0408,0.1437,-0.0228
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close)",-0.0438,0.1084,-0.0669,0.0246,0.1105,-0.0578,0.0167,0.0674,0.0139,-0.0854
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",-0.0136,0.0163,0.0191,0.0046,-0.0262,-0.0559,-0.0931,-0.0245,0.0339,-0.0113
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.072,-0.0781,0.0905,0.1232,-0.1066,-0.0201,0.0977,0.0105,-0.0051,-0.1119
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,-0.0705,0.0785,-0.1068,-0.1161,0.092,0.023,-0.1042,0.0059,0.0354,0.1293
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Others",0.0519,0.0116,0.0697,-0.0511,0.0035,-0.0081,0.0341,0.1447,0.0358,0.1822
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0574,-0.0714,-0.0693,0.0381,0.0429,0.0447,-0.0491,0.0222,0.0053,0.0602
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members,-0.0281,-0.0157,-0.0177,-0.0181,-0.0161,0.0332,0.0299,-0.0003,0.0004,-0.0376
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.)",-0.0154,0.0202,0.0312,0.0099,-0.0117,-0.0273,-0.0188,0.0455,-0.0991,0.0158
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.1026,-0.0049,-0.0218,-0.0226,0.0503,0.0432,-0.0307,0.0457,0.0178,-0.0319
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances",0.0581,-0.0358,-0.0097,0.0297,0.0535,-0.0364,-0.0109,0.0824,-0.0011,-0.107
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.)",-0.0151,0.004,0.0426,0.0189,0.0003,-0.0489,0.0308,-0.0361,0.0082,-0.0308
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0449,-0.0155,-0.0127,-0.0174,0.0227,0.0439,-0.0138,0.0157,0.0274,-0.0116
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",-0.0564,-0.0153,-0.0466,-0.0147,0.135,-0.0788,0.0804,-0.1456,0.1032,0.0228
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers",0.0064,-0.002,-0.022,-0.0142,-0.0371,-0.0142,-0.0139,0.0023,0.0186,0.0118
