,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.0346,-0.006,-0.0737,-0.0058,-0.0276,0.2454,0.0116,0.0474,0.0107,-0.0981
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0054,-0.01,0.0523,-0.0238,0.0593,0.0078,0.0759,-0.0263,0.0588,0.0453
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Others",-0.031,-0.008,-0.0026,0.0127,0.0546,-0.0632,-0.0575,-0.0709,-0.0019,-0.0048
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers",-0.0336,-0.021,-0.0317,0.0019,0.0085,-0.1012,0.0172,0.0597,-0.0289,-0.0274
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.0258,0.003,0.0021,-0.0379,-0.0543,0.0807,0.0002,0.017,0.0736,0.0351
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0202,-0.0362,0.1222,0.291,0.0035,0.0709,0.0566,-0.0088,0.0602,0.0746
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships, Others",-0.0382,-0.0069,-0.0072,-0.005,0.028,0.0154,-0.0019,-0.0226,-0.042,0.0262
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Women in intimate relationships",-0.0589,0.0007,-0.0342,-0.0402,0.0883,-0.0699,0.0484,0.1265,0.029,-0.0163
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Women in intimate relationships",-0.0071,0.01,0.0418,0.0289,-0.0211,-0.0088,-0.0011,-0.0268,-0.0711,-0.004
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances,0.017,-0.0155,-0.0656,-0.0103,-0.0466,-0.0014,0.0552,-0.0271,-0.031,-0.0208
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.041,-0.0039,0.0303,0.0722,0.0285,0.0732,-0.069,-0.0,0.0116,-0.008
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Others",-0.0009,-0.005,-0.0042,0.0062,-0.0106,-0.0099,-0.0538,-0.0556,0.0146,0.0509
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers",0.0552,0.1021,0.0002,0.0276,-0.0331,-0.0592,-0.019,-0.0778,0.0819,-0.0654
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.)",-0.017,0.0055,-0.0244,-0.0267,-0.0092,-0.0056,-0.0559,0.0863,-0.0293,0.0243
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0311,-0.0353,-0.0365,-0.0129,-0.0067,-0.0043,0.0399,-0.0058,-0.0436,0.0675
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers, Women in intimate relationships",-0.022,-0.0457,-0.0456,0.013,-0.0574,-0.069,0.1282,-0.0013,-0.0587,0.1267
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships",-0.0196,0.0103,0.0416,-0.0371,-0.0566,0.0041,-0.0905,-0.0055,0.0238,0.0469
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships, Others",0.0024,-0.0006,0.0211,0.0261,-0.0168,-0.0466,0.0292,0.0086,-0.0211,-0.0175
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Others,0.033,-0.0002,0.1209,-0.0607,-0.0467,0.0602,0.1077,0.0026,0.0293,-0.062
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers,0.0604,0.0689,-0.0757,-0.0012,-0.0485,0.037,-0.0688,-0.0964,-0.084,0.07
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.0575,-0.0051,0.0459,-0.0245,0.0019,-0.0458,-0.0078,0.0596,0.0103,0.0087
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",-0.0319,0.0028,0.0053,-0.0318,0.0121,0.0196,0.0063,-0.0251,-0.037,0.0132
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships",0.0235,-0.0264,0.0091,-0.0212,-0.0558,-0.0048,0.0948,-0.0318,-0.0171,-0.075
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships, Others",0.0102,0.0134,0.0134,-0.0361,-0.0227,0.0063,-0.0229,-0.0152,0.0591,0.0091
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Women in intimate relationships,0.0698,-0.0139,0.0347,0.0029,0.0369,-0.0045,-0.0405,-0.0161,-0.0347,-0.0486
men_who_report_sexual_abuse_are_not_taken_seriously_Disagree,0.0593,-0.0041,0.0662,-0.0436,0.0173,-0.0335,0.0052,0.0803,0.0492,0.0015
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,0.137,-0.0432,0.0152,-0.0481,0.0451,0.032,-0.0259,-0.0973,0.0893,0.028
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly agree,-0.1421,-0.0541,-0.1162,-0.0267,0.001,0.0621,0.063,0.079,-0.0684,0.0247
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly disagree,0.0748,0.2898,-0.1061,0.0812,0.0527,0.0181,0.0768,0.0188,0.015,0.0051
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.1845,-0.0556,0.0947,-0.0863,0.0782,0.0423,0.0567,0.0361,-0.0477,0.0062
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly agree,-0.1567,-0.0395,-0.065,0.0165,0.0472,-0.0469,0.0478,0.0166,-0.0164,0.0773
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly disagree,0.0748,0.2898,-0.1061,0.0812,0.0527,0.0181,0.0768,0.0188,0.015,0.0051
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Disagree,-0.0187,0.006,0.0615,0.024,0.0357,-0.0938,-0.0535,-0.0752,0.0035,-0.0809
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Neutral,0.1854,-0.0847,0.0108,-0.0201,0.1416,-0.0191,0.0023,0.0874,0.0018,0.0264
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly agree,-0.1629,-0.0487,-0.0946,-0.0932,-0.0279,0.09,0.0714,-0.0012,0.0295,0.0359
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly disagree,0.0748,0.2898,-0.1061,0.0812,0.0527,0.0181,0.0768,0.0188,0.015,0.0051
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Disagree,-0.1025,0.0431,0.0407,-0.0577,-0.0303,0.1322,-0.1249,-0.0328,-0.0172,-0.0241
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Neutral,0.1152,-0.0578,0.0378,0.1081,0.0868,-0.0342,0.0498,0.0557,-0.0671,0.1046
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly agree,0.0151,-0.0504,-0.0456,-0.0442,-0.062,0.0688,0.1996,-0.0472,-0.055,-0.0746
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly disagree,-0.0203,0.0482,-0.1097,-0.0175,-0.043,-0.1272,0.0244,0.0276,0.1892,-0.017
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Disagree,0.0461,0.0121,0.006,-0.0145,-0.0856,-0.0186,-0.0085,-0.0819,-0.0056,-0.0343
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Neutral,0.1611,-0.1101,-0.0519,0.004,0.0753,-0.0149,-0.0219,0.0424,0.0759,-0.0816
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly agree,-0.179,-0.0543,-0.0306,-0.0122,0.0854,-0.0147,0.1097,-0.023,-0.0195,0.1117
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly disagree,0.0251,0.2464,-0.0789,0.0676,0.0298,-0.0201,0.0745,0.0342,0.0772,-0.0726
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Not sure,0.0503,-0.0796,-0.063,-0.0165,-0.057,-0.0147,0.0433,-0.0222,0.1347,0.1035
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Yes,0.0239,0.0409,0.0123,-0.0483,0.0335,-0.0092,-0.0119,0.0943,-0.1614,0.0213
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Disagree,0.0921,0.1364,-0.03,0.0019,0.0343,0.0375,0.0102,0.0186,-0.0861,0.0934
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,0.0908,-0.0642,0.0517,0.006,-0.0164,-0.0941,-0.0452,0.0804,0.0163,-0.0712
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,-0.1125,-0.0682,-0.0787,-0.0564,0.0605,-0.006,0.2223,-0.0389,-0.0229,0.012
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly disagree,0.0104,0.2028,-0.0598,0.0559,0.0447,-0.0293,0.035,0.0337,0.0681,-0.0952
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Not sure,0.1555,-0.0055,-0.0654,0.0353,0.1655,0.0638,0.0026,-0.0314,-0.0742,0.0273
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Yes,-0.1694,0.0214,0.0616,-0.0243,-0.1673,-0.0771,-0.0101,0.0388,0.0878,-0.0181
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Fear of being mocked or disbelieved, ",0.0301,0.0297,-0.0118,0.0137,0.0268,-0.0075,-0.0257,-0.0954,-0.0227,0.0474
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection,0.0699,-0.0365,-0.0892,0.0043,0.0044,0.0307,-0.0917,-0.0937,-0.0039,0.0642
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Fear of being mocked or disbelieved",0.0034,0.0061,0.0239,-0.0305,0.0028,-0.0226,-0.0475,0.0803,-0.001,-0.0034
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Fear of being mocked or disbelieved",-0.0199,0.0067,0.0201,0.0012,-0.0288,-0.0288,-0.1023,-0.0134,0.0119,0.0133
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame",0.0169,-0.0156,-0.065,0.0269,-0.1053,-0.0191,0.0494,-0.0042,-0.0473,-0.0148
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",-0.1596,-0.0814,-0.0413,0.0806,0.0642,0.1174,0.0821,-0.0162,-0.0353,0.0449
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved, The media too does not play an active role in discussing these issues.",-0.0172,-0.0001,0.0165,-0.0103,-0.0486,0.0081,0.0133,-0.0027,-0.0186,0.0355
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame",0.0106,-0.0083,-0.0024,-0.0475,-0.0509,0.0017,-0.0757,0.0473,0.0425,0.0307
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame, Fear of being mocked or disbelieved",-0.0143,0.1007,-0.016,-0.0236,-0.0539,-0.0132,0.0113,-0.0308,0.1082,-0.0348
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases,0.0829,-0.0134,0.1007,-0.0622,0.0634,0.0245,0.0525,-0.0285,-0.0828,-0.113
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",0.0544,0.0084,0.1023,-0.0268,0.0097,-0.0378,0.0341,0.0173,0.005,-0.0444
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",-0.0454,-0.0037,0.0228,-0.0049,0.0632,-0.1046,0.05,0.1107,-0.0342,-0.0307
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame,0.1093,0.0912,0.024,-0.0007,0.0357,0.0226,0.0248,0.1115,-0.041,0.1484
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame, Fear of being mocked or disbelieved",0.0033,0.0059,-0.007,-0.0129,-0.0576,-0.089,-0.0692,-0.0422,0.0573,-0.0609
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,-0.0748,-0.0666,0.0081,0.1461,-0.0748,-0.0858,-0.0993,0.0548,-0.0479,-0.0393
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Neutral,0.1255,0.0337,0.0794,-0.1498,0.004,0.0889,0.0121,0.0253,0.1329,0.0804
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly agree,-0.0015,0.0264,-0.009,-0.0186,-0.0376,0.0198,-0.0973,-0.0766,-0.0463,0.0323
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly disagree,-0.0904,0.0384,-0.1109,-0.0058,0.0829,0.018,0.1438,-0.0183,-0.0039,-0.0308
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_

 Gender-neutral laws for sexual offences.
",0.0298,0.0005,0.0734,-0.0317,-0.0055,-0.0222,0.0399,-0.0433,-0.0384,-0.0772
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_
1. Gender-Neutral Laws – Many legal definitions of sexual violence and domestic abuse are framed around female victims. Laws should be gender-neutral to acknowledge that men can also be victims.
2. Improved Reporting and Investigation Procedures – Male survivors often face stigma when reporting crimes. Law enforcement and legal systems should undergo training to handle male victim cases without bias or disbelief.
3. Access to Support Services – Government funding should be allocated to shelters, counseling, and legal aid specifically for male survivors, similar to what exists for female survivors.
4. Stronger Protection Against False Accusations – While false accusations are rare, men accused of crimes like domestic violence or sexual assault often face severe consequences. Legal processes should ensure fair investigations before taking punitive actions
5. Equal Parental Rights in Family Courts – Family courts often favor mothers in custody cases, assuming men are perpetrators rather than victims of domestic abuse. Legal reforms should ensure fair treatment of fathers, especially those who are survivors of abuse.
6. Prison Reform – Male prisoners are at high risk of sexual violence, yet laws protecting them are often weakly enforced. Stronger measures should be in place to prevent and address sexual violence in prisons.
7. Education and Awareness Campaigns – Laws alone aren’t enough. Public campaigns should challenge societal stereotypes that men cannot be victims and encourage male survivors to seek justice without shame.",0.1325,-0.1075,-0.1153,0.0148,0.1124,0.0726,-0.055,-0.0134,0.0362,0.0714
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_**Legal reforms needed to support male survivors (in short):**

1. **Gender-neutral laws** for sexual and domestic violence.
2. **Equal access** to survivor support services.
3. **Trauma-informed training** for police and judiciary.
4. **Confidentiality protections** to reduce stigma.
5. **Extended reporting time** for abuse cases.
6. **Improved prison protections** for male victims.
7. **Fair treatment** in family and custody law.
8. **Awareness campaigns** to challenge bias and encourage reporting.",0.0127,0.0035,0.014,-0.0241,-0.0376,-0.0274,0.0178,-0.0564,0.0083,-0.032
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_.,0.0411,-0.02,0.0625,-0.0014,0.0947,-0.0038,0.0578,0.011,-0.0772,-0.0044
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Keep survivors names and stories private.
2. Have clear rules for reporting and investigating crimes.
3. Provide help and support for survivors.
4. Make laws stronger to stop abuse and punish offenders.
5. Educate people about the issue.
6. Stop unfair treatment and negative attitudes towards survivors.
",-0.0049,0.0023,-0.0302,-0.0022,-0.0196,-0.0019,-0.0071,-0.0236,-0.0027,0.004
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1. Policy changes 
2. Gender Neutral Laws 
3. Awareness in Law enforcement agencies ",-0.0523,-0.0023,-0.0227,0.0016,0.0405,-0.0116,0.0037,0.0364,0.0064,-0.0205
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_1.Access to legal protections and support 
2.confidentiality and privacy protections
3.Reducing social and cultural stigma
4.expanding support services ",-0.0318,-0.0076,-0.002,-0.0022,0.0148,-0.0106,-0.0036,0.027,-0.0048,-0.005
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_According to modern period changes,0.0291,-0.0187,0.0171,0.0176,0.0169,-0.0304,-0.0278,-0.0173,0.017,-0.0408
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_All the initially created laws were for the benefit for both men and women. Whatever changes were made by amendments and enactment of new laws that favour for both men and women.,-0.0151,0.004,0.0426,0.0189,0.0003,-0.0489,0.0308,-0.0361,0.0082,-0.0308
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Assailant should be should be sentenced death penalty ,0.0192,0.0052,0.0193,-0.014,-0.0318,0.0142,-0.0128,-0.0357,0.0181,-0.018
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Awareness and emotional support. ,0.063,0.0154,0.0145,-0.0283,0.028,0.0256,-0.0081,-0.0192,-0.0493,0.0173
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Being aware,0.0065,-0.0189,-0.0177,0.0326,-0.0292,-0.0018,-0.0139,0.0179,-0.0142,-0.0083
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Better laws for empowering women,0.0255,0.0068,-0.0568,0.0187,-0.0773,-0.0126,0.0036,-0.0024,0.0041,-0.0096
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Breaking social stigma, social sensitization",-0.0135,-0.0047,-0.0022,0.0254,0.0228,0.0093,-0.0196,0.0278,-0.0056,-0.0063
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Campaign, programs ",0.0041,0.018,0.0359,0.0293,0.0048,-0.0091,0.0134,-0.0074,-0.0022,-0.0004
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Can be more efficient towards the situation of that particular individual,0.0034,0.0112,0.0349,-0.0546,-0.0198,0.0277,-0.0662,0.0068,0.0475,0.0316
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Don't know ,0.0101,0.0093,0.0584,-0.0387,-0.0247,0.0492,0.0135,-0.0036,0.0822,0.0026
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Dont know,0.0301,0.0297,-0.0118,0.0137,0.0268,-0.0075,-0.0257,-0.0954,-0.0227,0.0474
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal law and order should be implement for both men and women against sexual abuse ,-0.015,0.0134,0.0117,-0.0121,-0.0219,0.0018,-0.0043,-0.0356,0.0031,0.0162
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Equal laws and rights against sexual abuse for males should be stringent in India. ,-0.0245,0.0109,0.0338,-0.0122,-0.0081,0.021,0.0219,-0.0202,-0.0508,-0.0067
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Anti Abuse Laws,-0.0346,-0.006,-0.0737,-0.0058,-0.0276,0.2454,0.0116,0.0474,0.0107,-0.0981
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Law,0.0004,0.0013,0.0384,-0.0874,0.0187,0.0196,0.0885,-0.0774,0.1731,0.0568
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender inclusive legal definitions,0.0106,-0.0443,-0.0461,0.0296,-0.0671,-0.0387,0.0176,0.0524,0.0566,-0.0141
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral justice ,-0.0025,0.0058,0.0425,0.0112,-0.0248,0.0023,-0.0033,-0.0182,0.003,-0.0471
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws,-0.0017,-0.0287,-0.0411,-0.0177,-0.0423,-0.0403,0.0293,0.0765,0.0201,-0.0325
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws , awareness programs etc ",-0.0449,-0.0155,-0.0127,-0.0174,0.0227,0.0439,-0.0138,0.0157,0.0274,-0.0116
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws can help and proper investigation should be emphasised irrespective of the gender of the victim.,-0.0084,-0.0106,0.0069,0.016,0.0398,0.0163,0.0015,0.0001,-0.0164,-0.0023
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws should be framed and implemented all over the country and campaigns along with initiatives shall be launched to curb incidents like these.,-0.0172,-0.0001,0.0165,-0.0103,-0.0486,0.0081,0.0133,-0.0027,-0.0186,0.0355
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws with equivalent punishments,-0.032,-0.0085,0.0337,0.0755,0.0233,0.0649,-0.0517,-0.0007,0.0268,0.0022
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, awareness regarding male abuse",-0.0371,-0.0017,-0.0229,-0.0072,-0.0005,0.0222,-0.0255,0.0437,-0.0128,-0.0429
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws, social services and awareness programs.",0.0021,0.0089,0.0099,0.0208,0.001,-0.0289,-0.0382,-0.0017,0.0044,-0.0247
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral sexual abuse laws should be implemented ,-0.0143,0.0064,0.0255,-0.0438,0.013,0.0118,-0.0346,0.0387,0.0537,0.0183
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutrality in CJS,-0.0257,0.003,0.009,0.0262,0.0168,0.0381,-0.0454,0.0007,-0.0105,-0.0134
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give equal rights to everyone ,0.0519,0.0116,0.0697,-0.0511,0.0035,-0.0081,0.0341,0.1447,0.0358,0.1822
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give them ample support and this type of heinous act should be punishable no matter who the victim are be it men or women,0.0009,-0.0199,-0.0717,-0.0098,-0.0589,0.025,0.0755,-0.03,-0.0203,0.004
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Got v less to do with legal reforms. It has more to do with legal practices and judicial attitude towards the victims/survivors,-0.0029,-0.0028,0.0224,0.0017,-0.0252,0.0034,-0.0045,-0.0034,-0.0478,-0.0012
