,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for shelters, counseling, and victim support should be explicitly available to male survivors.
Laws should mandate that service providers accommodate male victims without stigma or dismissal.",-0.0144,0.0007,-0.0297,-0.0126,-0.0642,0.025,-0.0013,0.0147,0.0176,0.0253
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government funding for survivor services that prioritise both men and women equally ,0.0307,-0.0283,-0.0517,0.0376,-0.0436,-0.0835,-0.0343,-0.0067,0.0962,-0.0247
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Government should implement new laws related to the sexual crime, society and media also need to consider male victims as a victim of sexual abuse should not criticize them for that.",-0.0272,-0.0105,0.0064,0.009,0.0371,-0.0059,-0.0207,0.0216,-0.0412,0.0051
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Helplines and counseling services,0.0317,0.0044,-0.0429,0.0062,-0.0652,0.0103,-0.0278,-0.0361,-0.0187,0.0003
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_I have no idea ,-0.0239,0.0132,-0.0167,-0.0164,-0.0189,0.0239,-0.0058,-0.001,-0.0482,0.0649
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Implement gender-neutral sexual assault laws, improve reporting mechanisms, and provide specialized support for male survivors.",0.0347,0.0129,0.0393,-0.0071,-0.0441,-0.0148,-0.0046,-0.048,0.0008,-0.0272
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Increasing funding for support services,-0.0015,0.0264,-0.009,-0.0186,-0.0376,0.0198,-0.0973,-0.0766,-0.0463,0.0323
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_India needs gender-neutral sexual assault laws, legal recognition of male victims, dedicated support systems, and stronger enforcement of existing provisions. Expanding POCSO-like protections to adult males and ensuring fair reporting mechanisms without stigma are crucial reforms.",-0.0257,-0.0207,-0.0087,-0.01,0.0128,-0.0102,0.0057,0.006,-0.0445,0.0393
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws and protection should be given to both the genders equally,0.0004,0.0005,0.0067,0.0028,0.0032,-0.0231,-0.0402,0.0144,-0.0178,-0.0071
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws should be gender neutral ,-0.012,0.0181,0.0212,-0.0402,-0.0208,0.0232,-0.0084,-0.0366,-0.0278,0.0069
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal action ,0.0802,0.1615,-0.0705,0.0468,0.0443,0.0455,0.0336,-0.0078,-0.056,0.0798
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal frameworks should be made gender-neutral for male victims, with confidential reporting and counseling services available to them.
Law enforcement agencies should receive sensitivity training to ensure that men's cases are taken seriously.",-0.0016,-0.0056,-0.031,-0.0001,0.0022,0.0027,-0.0307,-0.0099,-0.0236,0.0208
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms should ensure gender-neutral sexual violence laws, recognizing male survivors equally. Additionally, specialized support services and stronger enforcement against stigma-related barriers are needed.",0.0103,-0.0016,0.053,0.0117,-0.0445,-0.0024,0.0368,0.0301,0.015,-0.0105
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms should include gender-neutral sexual assault laws and better support services.

",0.0102,0.0134,0.0134,-0.0361,-0.0227,0.0063,-0.0229,-0.0152,0.0591,0.0091
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms to support male survivors could include:

1. Gender-inclusive laws that explicitly recognize male victims.


2. Confidential reporting options tailored to male survivors’ needs.


3. Increased funding for male-specific support services.


4. Training for law enforcement and judiciary on male survivor issues.


5. Stronger protections against stigma and discrimination in legal processes.



",0.0079,0.0232,-0.0027,-0.0103,-0.0179,0.0148,-0.0329,-0.0567,-0.0256,0.0131
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Making and implementing new laws.
",-0.0202,-0.0362,0.1222,0.291,0.0035,0.0709,0.0566,-0.0088,0.0602,0.0746
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Many laws define domestic violence, sexual assault, and rape in ways that assume female victims and male perpetrators. Laws should be gender-neutral to ensure male survivors receive equal protection.",-0.0009,-0.005,-0.0042,0.0062,-0.0106,-0.0099,-0.0538,-0.0556,0.0146,0.0509
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Many rape crisis centers are designed exclusively for female survivors, leaving male survivors with few resources.",0.0007,0.0163,0.0069,0.0052,-0.0081,-0.0499,-0.0287,-0.021,0.0358,-0.0293
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Men are just needed to be heard.,-0.0125,-0.0095,-0.0014,0.0023,-0.0215,0.008,-0.0084,0.0115,-0.0059,0.0618
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Mmmmm,0.099,-0.0458,0.0064,-0.0053,0.0485,0.0231,0.0016,0.0058,-0.0049,0.0026
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Modifications in the criminal justice system,-0.0078,-0.0113,-0.0199,0.0126,-0.0311,-0.0797,-0.0308,0.0455,-0.0008,-0.0204
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_More sensitisation is required ,0.0001,0.0156,0.0137,0.0076,-0.0193,-0.0143,-0.013,-0.0074,0.001,-0.0176
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Na,0.0772,-0.0714,-0.0258,0.057,0.0318,-0.0162,0.0017,0.0538,0.0465,-0.1069
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_National commission for male welfare,0.0024,0.0162,0.0207,-0.0207,-0.0415,0.0005,0.0031,-0.0082,0.014,0.0095
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Need new laws to prevent male sexual abuse as well.,-0.013,-0.008,0.0088,0.0102,0.0072,-0.0112,0.0069,-0.0255,-0.0777,-0.0188
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Need to change some policies to prevent these abuses ,-0.0199,0.0067,0.0201,0.0012,-0.0288,-0.0288,-0.1023,-0.0134,0.0119,0.0133
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_New laws,0.0106,0.0068,0.0386,-0.0115,-0.0073,-0.0082,-0.0027,-0.0317,-0.0349,-0.0456
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_New laws should come up to protect men’s rights too,-0.0021,0.0126,0.0152,0.0157,-0.0284,-0.0004,-0.0178,-0.0165,-0.0125,0.0125
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Nil,0.0071,-0.0008,0.0109,0.0068,0.0041,-0.0239,-0.0335,-0.0601,0.0074,0.0095
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Police reforms ,-0.0146,-0.007,-0.0023,-0.005,0.0732,-0.0562,0.0226,0.0554,-0.054,-0.0201
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Punishments for the police officers who mock and do not take the male victims seriously.,-0.0104,0.039,-0.0053,0.0111,0.0331,-0.0212,-0.0251,0.0132,0.0187,-0.0614
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Raise awareness about the statistics of male victims getting abused.
Laws should enforce gender neutral decisions based on the facts.
Authorities like Police should be given training as they don’t take male victims seriously.",-0.0115,-0.006,-0.0134,0.0083,0.0431,-0.0035,-0.0362,0.0056,-0.0058,-0.0315
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Reforms are needed to amend definitions, remove gender bias, increase reporting options, enhance victim support, and provide training for professionals to support male survivors of abuse.",-0.0456,-0.0029,-0.0027,-0.0178,0.0509,-0.0022,-0.0349,0.0629,-0.0478,0.007
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Reforms that include better laws for male survivors ,0.0049,0.0353,-0.0009,-0.0159,-0.0148,0.0179,-0.0208,0.0254,-0.0149,0.023
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Seperate clause for any kind of sexual abuse against male shd be considered, with strict punishment. They are to be considered same as a women do.",-0.0484,-0.0009,-0.006,-0.0074,0.0268,0.0289,0.0042,0.007,-0.0242,0.0048
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Sexual abuse act need to made .. most of the case male also victim by male or female sometimes they also victim by third Gender ,0.026,0.0027,0.0135,0.0017,0.0307,0.0051,-0.0407,-0.0042,-0.033,-0.0282
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Shelters and safe houses,-0.0002,0.021,0.0181,-0.0081,-0.017,-0.0212,-0.0234,0.0785,-0.0269,0.0004
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Social awareness and campaigns, gender-equality in addressing SA",-0.046,-0.0048,-0.0,0.0064,0.0451,0.0147,-0.0079,0.0026,0.0081,-0.0234
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Stop supporting the LGBTQ concept and mindset and also taking men victim seriously and women get equally punished.,0.0081,-0.0621,-0.0784,0.0159,-0.0487,0.0135,0.1196,-0.003,-0.0049,-0.0609
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Stricter and more neutral laws,0.0115,-0.0229,-0.0383,-0.0122,-0.0518,-0.0252,-0.0403,0.0598,0.0124,0.0116
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Strong law and order ,-0.028,0.0045,0.0025,-0.0164,0.0004,0.005,-0.0547,0.0207,0.0422,-0.0234
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Support, legal aids & forums. Rehabilitation centres. Fair custody and divorce laws. Legal protection against sexual violence ",0.0026,-0.0136,0.017,0.0372,-0.0444,-0.0451,0.0057,0.0251,-0.0649,-0.0198
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Supporting male survivors requires legal reforms that address gender biases, improve access to justice, and ensure proper support systems. Many laws and policies still overlook or minimize the experiences of men who face sexual violence, domestic abuse, or other forms of harm.  

One key reform is making legal definitions gender-inclusive. Many laws assume only women can be victims, particularly in cases of sexual violence and domestic abuse. Expanding these definitions ensures that male survivors receive equal legal protection.  

Access to services must also be improved. Many shelters, crisis hotlines, and victim support programs primarily serve women, leaving men with limited options. Laws should mandate equal access and funding for male-specific support services.  

Law enforcement and judicial systems need better training. Many officers and judges dismiss or misunderstand male victimization due to stereotypes. Mandatory training can help ensure cases are taken seriously and handled properly.  

Family court reform is also crucial. Men who experience domestic abuse often struggle in custody battles because courts tend to favor mothers. Recognizing male victimization in custody decisions and protection orders is necessary for fairness.  

Confidentiality protections should be strengthened. Many male survivors fear coming forward due to stigma. Stronger privacy laws can help protect their identities and encourage reporting.  

Prison reform is another urgent issue. Sexual violence against men in prisons is widespread but often ignored. Stronger oversight, better protections, and stricter accountability measures are needed.  

Finally, public awareness campaigns should be part of legal reforms. Challenging stereotypes and educating the public about male victimization can help reduce stigma and encourage survivors to seek help.  

Would you like to focus on reforms in a specific country or legal system?",0.0024,-0.0006,0.0211,0.0261,-0.0168,-0.0466,0.0292,0.0086,-0.0211,-0.0175
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_That’s a powerful and important question. Legal reforms to support male survivors of abuse, assault, or violence often lag behind broader discussions of victim support. Here are some key areas where reforms could make a real difference:

1. Gender-Inclusive Legal Definitions

Many laws around sexual assault or domestic violence are still written with female victims in mind. Revising statutes to use gender-neutral language ensures male survivors are fully recognized and protected under the law.


2. Improved Reporting Procedures

Create trauma-informed, male-inclusive reporting mechanisms. Some men fear they won’t be believed or will be ridiculed if they report abuse. Police, prosecutors, and judges need training to take all reports seriously, regardless of gender.


3. Access to Support Services

Legally mandate access to shelters, counseling, and legal aid for male survivors. Currently, many services are either unavailable or poorly equipped to handle


",-0.0026,0.0032,-0.0173,-0.0067,-0.0104,-0.0171,-0.019,-0.0524,0.0077,-0.0031
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_The neglect that male survivors of sexual abuse experience must be acknowledged and addressed by legal measures. Abuse frequently starts early and is perpetrated by familiar people through unwanted physical contact, coercion, and even sexual performance parody. The erroneous belief that men must be ""strong"" and independent often leads to their rejection, mockery, and expectation that they will suffer through trauma in silence. Lawmakers should create specialised support networks, guarantee gender-neutral acknowledgement of survivors, and take strong action against offenders in order to counteract this. To break the stigma and empower males to speak up without fear of prejudice, mental health resources and awareness campaigns are crucial.",-0.0181,-0.029,-0.0426,-0.0081,-0.0222,0.0041,0.0504,-0.0141,-0.0168,0.0556
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_The police officials should get a proper class on male sexual abuse and should know the intensity of the act.
There should be a proper law to be made for male sexual abuse.
Also the society should accept that its a crime not some shameful thing to be mocked.
Awareness classes at school and university to be conducted and they should know what is right and wrong.
And also they should feel its okay to share these things.",-0.0226,-0.0084,-0.0259,0.0034,0.0652,0.024,0.0196,0.0026,-0.0491,0.0101
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_The society and especially the government is becoming biased towards women. Every law and actions are made for them and are given more attention. There are numerous cases of male sexual assault but are not reported. I think government should put same emphasis on men as they do in case of women. Some special reforms in the laws and especially awareness which will help men to know that their problems really matters. And the male population too has to understood that male sexual assault is also an important thing to focus on so as women.,-0.0121,-0.0155,-0.0382,-0.0015,-0.0403,-0.0529,0.0457,-0.0102,0.0026,-0.0085
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Therapy ,0.0215,-0.003,-0.0016,0.0092,-0.0146,-0.031,-0.0161,0.0035,-0.0347,0.0108
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_There should be laws that protect male victims of sexual abuse. There should be more awareness campaigns from the govt towards the mass population. The offenders should be punished. ,-0.0195,-0.002,-0.0104,0.0018,0.0149,0.0097,-0.0078,-0.0102,0.0344,0.0077
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_They should be given equal treatments and judicial support as woman receives.,-0.016,-0.0096,-0.0097,-0.0271,0.0127,0.0091,-0.0274,0.0243,0.0544,-0.044
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_They should be taken as adversely as the females are taken,0.0251,0.2464,-0.0789,0.0676,0.0298,-0.0201,0.0745,0.0342,0.0772,-0.0726
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_To support male survivors, legal reforms should include amendments to existing laws to remove gender-specific language and ensure equal protection. Additionally, laws should provide for increased funding and resources for services specifically supporting male survivors.",0.0362,-0.0081,0.096,-0.0771,-0.0108,0.0565,0.1345,-0.0221,-0.0469,-0.0984
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Unity,-0.022,-0.0457,-0.0456,0.013,-0.0574,-0.069,0.1282,-0.0013,-0.0587,0.1267
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_We need to implement a commission for men as well. There should be a central location where men can seek support.,-0.031,-0.008,-0.0026,0.0127,0.0546,-0.0632,-0.0575,-0.0709,-0.0019,-0.0048
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_We should make legal supports for men security ,0.0593,-0.0041,0.0662,-0.0436,0.0173,-0.0335,0.0052,0.0803,0.0492,0.0015
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_better institutional support,0.0148,0.057,0.0045,-0.0152,-0.0135,-0.0067,-0.0081,0.0589,-0.0425,0.0631
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_each legal body should run without any gender bias,-0.0439,0.0063,-0.0193,-0.0182,0.0837,-0.0339,0.0107,0.052,-0.0041,-0.0173
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_legal protection for male victim, laws implementation on the behalf of male victims, mental support from society. ",-0.0382,-0.0069,-0.0072,-0.005,0.028,0.0154,-0.0019,-0.0226,-0.042,0.0262
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_non biased judgement irrespective of gender
corrective measures to be taken against offenders
equal acceptance of f.i.r.s by men",-0.0335,-0.0065,-0.003,-0.0309,0.0079,0.0442,0.0067,-0.001,0.0227,0.0292
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_पहली बात तो मुझे यही पता नहीं कि पुरुषों के लिए कोई कानून है भी या नहीं। 
पैदा होने से अब तक जितने भी कानून देखे महिलाओं के लिए ही देखे है। भले ही समाज पुरुषप्रधान है कहकर चिल्लाया जाता हो लेकिन महिलाओं के मुकाबले पुरुषों को मजबूत मानने वाले समाज ने पुरुष को कभी उस दृष्टि से देखा ही नहीं कि उसके ऊपर भी कोई अत्याचार हो सकता है।",-0.0564,-0.0153,-0.0466,-0.0147,0.135,-0.0788,0.0804,-0.1456,0.1032,0.0228
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_নাজানো,-0.0156,-0.0093,-0.0357,-0.0162,-0.0037,0.0407,0.0639,-0.038,-0.0363,0.0081
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_●addition of new clause to the Indian law
●spread awareness 
●provide counselling and support ",-0.0219,0.0035,0.0326,-0.0407,-0.0123,0.0886,0.0016,0.0091,0.086,0.024
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Encouraging men to report abuse without fear",0.0143,0.0075,0.1052,-0.0634,-0.0035,-0.0014,0.0829,-0.0546,-0.1148,-0.0939
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns",0.0322,0.1646,-0.054,0.0286,-0.0434,-0.0163,0.0165,0.0496,0.0114,-0.0062
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Encouraging men to report abuse without fear",-0.0203,-0.0235,-0.0469,-0.0035,-0.1055,-0.015,-0.0588,0.0518,0.0186,0.0681
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors",0.0034,-0.0618,-0.0691,-0.0035,-0.081,-0.0675,0.144,-0.0202,-0.0291,0.0032
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",-0.1649,-0.022,-0.0269,-0.0364,0.1237,0.0903,-0.0871,-0.009,0.0614,-0.0023
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear, Sexual education at schools.",0.0004,0.0013,0.0384,-0.0874,0.0187,0.0196,0.0885,-0.0774,0.1731,0.0568
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Providing more psychological support for male survivors",-0.0085,-0.0093,-0.036,-0.0198,-0.0247,-0.0528,0.0207,0.119,0.0158,-0.0209
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",-0.0239,-0.0244,-0.013,0.0398,-0.0647,-0.0443,-0.0227,0.0663,-0.0502,-0.0547
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Encouraging men to report abuse without fear,-0.0015,0.0264,-0.009,-0.0186,-0.0376,0.0198,-0.0973,-0.0766,-0.0463,0.0323
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns,0.0923,-0.0387,0.04,0.0061,0.0366,-0.0654,-0.0296,0.0445,0.0791,-0.0952
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Encouraging men to report abuse without fear",0.0376,0.0153,0.0836,-0.035,-0.0481,-0.0059,0.0431,0.0971,0.0378,0.1056
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Providing more psychological support for male survivors",0.0457,0.0023,0.0009,-0.0117,-0.0164,0.0025,-0.0071,-0.0316,-0.0801,0.0264
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",-0.0087,0.0024,0.1146,0.1735,-0.0006,-0.0142,0.0266,-0.0129,0.0178,0.0148
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Providing more psychological support for male survivors,0.1645,-0.1089,-0.0774,0.0068,0.1143,0.068,-0.0379,-0.0054,0.0222,0.0525
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0307,-0.0283,-0.0517,0.0376,-0.0436,-0.0835,-0.0343,-0.0067,0.0962,-0.0247
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Not Sure,0.0908,-0.1132,-0.1833,0.0434,-0.1024,-0.0099,0.064,-0.0072,0.0174,-0.0258
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,-0.1296,0.0912,0.2118,-0.0535,0.1114,0.0401,-0.0733,-0.0073,-0.0166,-0.0318
do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Not sure,0.0855,-0.1137,-0.1976,0.0448,-0.1257,0.0893,0.0283,0.049,0.0412,-0.0658
do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,-0.1115,0.0766,0.2205,-0.0474,0.1013,-0.0829,-0.022,-0.0378,-0.0293,0.0404
