,importance
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Neutral,0.0464
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct, ",0.0406
where_do_you_currently_reside_assam,0.0339
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns,0.0318
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Others,0.0313
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Don't know ,0.0288
where_do_you_currently_reside_Currently i live in home,0.0258
where_do_you_currently_reside_New Delhi ,0.0216
please_specify_your_native_place_New Ashok Nagar,0.0208
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear, Sexual education at schools.",0.02
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Can be more efficient towards the situation of that particular individual,0.0199
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Mmmmm,0.0199
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_To support male survivors, legal reforms should include amendments to existing laws to remove gender-specific language and ensure equal protection. Additionally, laws should provide for increased funding and resources for services specifically supporting male survivors.",0.0189
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Na,0.018
please_specify_your_native_place_6 mile,0.0178
where_do_you_currently_reside_Na,0.0177
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame",0.0176
men_who_report_sexual_abuse_are_not_taken_seriously_Disagree,0.0173
please_specify_your_native_place_Jabalpur ,0.0166
please_specify_your_native_place_Maligaon ,0.0166
fear_of_social_judgment_stops_male_victims_from_coming_forward_Neutral,0.0163
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender Neutral Law,0.0162
your_current_employment_status_Self-employed,0.0155
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Neutral,0.0154
your_highest_education_level_Graduate ,0.0153
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Neutral,0.0139
where_do_you_currently_reside_Guwahati ,0.0133
where_do_you_currently_reside_Madhya Pradesh ,0.0132
"please_specify_your_native_place_Guwahati, Hengerabari ",0.0125
please_specify_your_native_place_assam,0.012
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_We should make legal supports for men security ,0.0118
your_highest_education_level_Other,0.0118
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Yes,0.0113
please_specify_your_native_place_Guwahati,0.0105
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_●addition of new clause to the Indian law
●spread awareness 
●provide counselling and support ",0.0105
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Neutral,0.0104
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.0096
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Strongly agree,0.0094
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Disagree,0.0088
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame",0.0082
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Others",0.0081
do_you_believe_male_sexual_abuse_is_a_prevalent_issue_in_india_Not Sure,0.008
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame,0.0079
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,0.0079
men_who_report_sexual_abuse_are_not_taken_seriously_Neutral,0.0078
what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases,0.0072
the_media_does_not_give_enough_attention_to_male_sexual_abuse_cases_Strongly agree,0.0062
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Misconduct,0.006
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly agree,0.0058
your_highest_education_level_Undergraduate,0.0057
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Movies/TV Shows",0.0057
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Women in intimate relationships",0.0057
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Yes,0.0057
please_specify_your_native_place_Guwahati ,0.0056
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Not sure,0.0055
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Stalking,0.0054
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0054
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly agree,0.0052
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Social stigma & shame, Fear of being mocked or disbelieved",0.0052
are_you_aware_of_any_legal_protections_for_male_victims_in_india_Not sure,0.0049
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media",0.0048
where_do_you_currently_reside_Assam,0.0048
please_specify_your_native_place_Assam,0.0047
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Neutral,0.0047
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Providing more psychological support for male survivors,0.0046
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances, Strangers",0.0045
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances",0.0044
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.)",0.0043
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.0042
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Women in intimate relationships,0.0041
do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Yes,0.0039
if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment,0.0036
your_highest_education_level_Postgraduate,0.0036
fear_of_social_judgment_stops_male_victims_from_coming_forward_Strongly agree,0.0035
do_you_think_support_from_the_family_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Not Sure,0.0034
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Movies/TV Shows",0.0029
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Social stigma & shame, Fear of being mocked or disbelieved",0.0029
current_indian_laws_on_sexual_crimes_are_biased_towards_women_and_ignore_male_victims_Disagree,0.0029
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Disagree,0.0028
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Friends/Acquaintances, Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0028
your_current_employment_status_Student,0.0028
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media,0.0026
where_do_you_currently_reside_Delhi,0.0025
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Stricter and more neutral laws,0.0025
men_can_protect_themselves_better_than_women_from_sexual_abuse_so_it_s_less_of_a_problem_Strongly disagree,0.0024
do_you_believe_india_should_introduce_gender_neutral_sexual_abuse_laws_Yes,0.0023
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Encouraging men to report abuse without fear",0.0022
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",0.0021
where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Others,0.0021
please_specify_your_native_place_India,0.0021
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Stalking",0.0021
your_current_employment_status_Unemployed,0.002
where_do_you_currently_reside_Delhi ,0.002
men_who_report_sexual_abuse_are_not_taken_seriously_Strongly agree,0.0019
"where_do_you_currently_reside_Guwahati, Assam",0.0017
police_take_sexual_abuse_complaints_from_men_as_seriously_as_they_do_for_women_Strongly disagree,0.0015
"please_specify_your_native_place_Mangaldoi,Darrang",0.0014
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws,0.0014
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Strongly disagree,0.0014
do_you_think_support_from_the_social_circle_can_help_reduce_stigma_and_encourage_male_survivors_to_speak_up_Not sure,0.0013
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_non biased judgement irrespective of gender
corrective measures to be taken against offenders
equal acceptance of f.i.r.s by men",0.0012
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships, Others",0.0012
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Police refusing to file cases, Social stigma & shame, Fear of being mocked or disbelieved",0.0011
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Others",0.0011
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_
1. Gender-Neutral Laws – Many legal definitions of sexual violence and domestic abuse are framed around female victims. Laws should be gender-neutral to acknowledge that men can also be victims.
2. Improved Reporting and Investigation Procedures – Male survivors often face stigma when reporting crimes. Law enforcement and legal systems should undergo training to handle male victim cases without bias or disbelief.
3. Access to Support Services – Government funding should be allocated to shelters, counseling, and legal aid specifically for male survivors, similar to what exists for female survivors.
4. Stronger Protection Against False Accusations – While false accusations are rare, men accused of crimes like domestic violence or sexual assault often face severe consequences. Legal processes should ensure fair investigations before taking punitive actions
5. Equal Parental Rights in Family Courts – Family courts often favor mothers in custody cases, assuming men are perpetrators rather than victims of domestic abuse. Legal reforms should ensure fair treatment of fathers, especially those who are survivors of abuse.
6. Prison Reform – Male prisoners are at high risk of sexual violence, yet laws protecting them are often weakly enforced. Stronger measures should be in place to prevent and address sexual violence in prisons.
7. Education and Awareness Campaigns – Laws alone aren’t enough. Public campaigns should challenge societal stereotypes that men cannot be victims and encourage male survivors to seek justice without shame.",0.001
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms should include gender-neutral sexual assault laws and better support services.

",0.001
please_specify_your_native_place_Guwahati Assam ,0.0009
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0009
sexual_abuse_against_men_is_as_serious_as_sexual_abuse_against_women_Disagree,0.0009
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Friends/Acquaintances,0.0009
please_specify_your_native_place_Changsari,0.0009
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms should ensure gender-neutral sexual violence laws, recognizing male survivors equally. Additionally, specialized support services and stronger enforcement against stigma-related barriers are needed.",0.0009
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Women in intimate relationships",0.0008
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Give equal rights to everyone ,0.0008
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Implement gender-neutral sexual assault laws, improve reporting mechanisms, and provide specialized support for male survivors.",0.0008
where_do_you_currently_reside_Delhi NCR,0.0008
please_specify_your_native_place_Delhi,0.0008
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_There should be laws that protect male victims of sexual abuse. There should be more awareness campaigns from the govt towards the mass population. The offenders should be punished. ,0.0007
where_do_you_currently_reside_.,0.0007
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_**Legal reforms needed to support male survivors (in short):**

1. **Gender-neutral laws** for sexual and domestic violence.
2. **Equal access** to survivor support services.
3. **Trauma-informed training** for police and judiciary.
4. **Confidentiality protections** to reduce stigma.
5. **Extended reporting time** for abuse cases.
6. **Improved prison protections** for male victims.
7. **Fair treatment** in family and custody law.
8. **Awareness campaigns** to challenge bias and encourage reporting.",0.0007
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_New laws,0.0007
please_specify_your_native_place_Assam ,0.0006
where_do_you_currently_reside_Guwahati Assam ,0.0006
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct",0.0006
"where_do_you_currently_reside_Mehrauli, New Delhi",0.0006
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Providing more psychological support for male survivors",0.0006
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Encouraging men to report abuse without fear",0.0006
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close)",0.0005
where_do_you_currently_reside_guwahati,0.0005
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Providing more psychological support for male survivors",0.0005
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns, Encouraging men to report abuse without fear",0.0004
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Assault",0.0004
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_They should be given equal treatments and judicial support as woman receives.,0.0004
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0003
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Strangers, Women in intimate relationships",0.0003
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral sexual abuse laws should be implemented ,0.0003
"please_specify_your_native_place_Guwahati, Assam ",0.0003
where_do_you_currently_reside_Aggyathuri ,0.0003
"what_challenges_do_you_think_prevent_male_victims_of_sexual_abuse_from_getting_justice_select_all_that_apply_Lack of legal protection, Fear of being mocked or disbelieved",0.0003
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Shelters and safe houses,0.0003
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members,0.0003
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_Social Media, Personal Experience (Self or Someone Close)",0.0003
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Women in intimate relationships",0.0002
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_According to modern period changes,0.0002
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows",0.0002
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_.,0.0002
who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers,0.0002
please_specify_your_native_place_Yamuna vihar ,0.0002
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Stalking, Assault",0.0002
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Laws should be gender neutral ,0.0002
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Strangers, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0001
where_do_you_currently_reside_Siliguri,0.0001
where_do_you_currently_reside_Amingaon,0.0001
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Reforms that include better laws for male survivors ,0.0001
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_The neglect that male survivors of sexual abuse experience must be acknowledged and addressed by legal measures. Abuse frequently starts early and is perpetrated by familiar people through unwanted physical contact, coercion, and even sexual performance parody. The erroneous belief that men must be ""strong"" and independent often leads to their rejection, mockery, and expectation that they will suffer through trauma in silence. Lawmakers should create specialised support networks, guarantee gender-neutral acknowledgement of survivors, and take strong action against offenders in order to counteract this. To break the stigma and empower males to speak up without fear of prejudice, mental health resources and awareness campaigns are crucial.",0.0001
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Gender neutral laws with equivalent punishments,0.0001
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Increasing awareness through media campaigns",0.0001
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Increasing awareness through media campaigns, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0001
"who_do_you_think_are_the_most_common_perpetrators_of_sexual_abuse_against_men_select_all_that_apply_Family members, Authority figures (Teachers, Employers, Police, etc.), Women in intimate relationships",0.0
please_specify_your_native_place_Kolkata (Home),0.0
"please_specify_your_native_place_Guwahati, Assam",0.0
where_do_you_currently_reside_Greater Noida ,0.0
where_do_you_currently_reside_Dhubri,0.0
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close), Others",0.0
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Dont know,0.0
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Legal reforms to support male survivors could include:

1. Gender-inclusive laws that explicitly recognize male victims.


2. Confidential reporting options tailored to male survivors’ needs.


3. Increased funding for male-specific support services.


4. Training for law enforcement and judiciary on male survivor issues.


5. Stronger protections against stigma and discrimination in legal processes.



",0.0
"what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Social awareness and campaigns, gender-equality in addressing SA",0.0
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_Increasing funding for support services,0.0
your_highest_education_level_Secondary,0.0
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Social Media, Personal Experience (Self or Someone Close), Movies/TV Shows, Others",0.0
"what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Creating gender-neutral sexual violence laws, Providing more psychological support for male survivors, Encouraging men to report abuse without fear",0.0
"if_yes_what_were_the_most_common_ones_you_ve_heard_of_in_india_select_all_that_apply_Harassment, Misconduct, Assault",0.0
please_specify_your_native_place_Aggyathuri assam,0.0
where_do_you_currently_reside_Gujarat ,0.0
please_specify_your_native_place_Maligaon,0.0
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_better institutional support,0.0
what_do_you_think_is_the_best_way_to_address_male_sexual_abuse_in_india_select_all_that_apply_Encouraging men to report abuse without fear,0.0
"where_did_you_learn_about_male_sexual_abuse_cases_select_all_that_apply_News Media, Personal Experience (Self or Someone Close)",0.0
what_legal_reforms_do_you_think_are_needed_to_support_male_survivors_We need to implement a commission for men as well. There should be a central location where men can seek support.,0.0
